Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year
Brandon Clarke,GU,37,28.1,16.9,6.9,10.1,0.687,0.1,0.4,0.267,2.9,4.2,0.694,3.1,5.5,8.6,1.9,1.2,3.1,1.5,2.1,2019
Brandon Davies,BYU,36,29.3,17.7,6.4,12.2,0.522,0.1,0.4,0.357,4.8,7.1,0.682,2.1,5.9,8,2.4,1.3,1,2.6,3.1,2013
Brandon Edwards,UTA,32,34.5,16.3,5.4,10.5,0.516,1.3,3.6,0.36,4.2,5.3,0.784,3.6,6.3,9.8,0.8,0.8,1.7,1.3,2.6,2014
Brandon Fortenberry,SELU,31,35.5,14.6,4.8,11.9,0.401,1.6,4.7,0.34,3.5,4.7,0.735,0.8,3.7,4.5,2.8,0.9,0.3,1.9,1.9,2013
Brandon Goodwin,FGC,34,33.4,18.6,6.6,13.9,0.47,1.2,4.5,0.275,4.2,5.6,0.75,1.1,4.4,5.5,4.8,1.4,0.1,2.9,1.6,2018
Brandon Horvath,USU,33,30.9,14.2,5.5,10.4,0.525,1.1,3.4,0.327,2.2,3.6,0.602,1.5,5.1,6.6,2.7,0.6,0.5,2.4,2.6,2022
Brandon Ingram,DUKE,36,34.6,17.3,5.9,13.4,0.442,2.2,5.4,0.41,3.2,4.7,0.682,1.9,4.9,6.8,2,1.1,1.4,2,2.1,2016
Brandon Johnson,WMY,32,31,15.4,5.4,11.8,0.459,0.7,2.1,0.333,3.9,5.3,0.738,1.9,6.2,8.1,1,0.5,1,1.8,2.4,2020
Brandon Kamga,CSUF,29,32.7,15.5,5.2,12.2,0.425,1.7,5.1,0.338,3.4,4.2,0.81,0.8,3.6,4.4,1.2,0.7,0.2,2.8,3.4,2020
Brandon McCoy,UNLV,33,28.8,16.9,6.3,11.6,0.545,0.1,0.3,0.333,4.2,5.8,0.725,3.1,7.2,10.3,0.5,0.5,1.8,2.6,2.6,2018
Brandon McKissic,UMKC,18,34,17.2,6.7,13.1,0.508,1.7,3.9,0.429,2.2,3.3,0.667,0.6,3.1,3.7,3.3,1.5,0.1,3,2.8,2021
Brandon Paul,U of I,36,32.1,16.6,5.1,12.8,0.401,2.2,6.7,0.325,4.2,5.7,0.738,0.6,3.8,4.4,2.7,1.2,0.6,2.7,2.4,2013
