Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Year
Rasir Bolton,ZAGS,.561,.524,160.7,0.9,7.8,4.5,14.6,10.8,1.7,0.4,18.8,2.2,1.3,118.2,105.7,12.5,231.4,15.7,2023
Jayvis Harvey,TNTCH,.563,.526,162.1,4.0,10.0,7.0,15.0,13.7,1.3,0.8,20.8,-0.6,1.3,110.5,108.0,2.6,216.0,15.7,2023
"Jovan Blacksher, Jr.",GCU,.480,.432,144.6,1.4,7.7,4.7,19.1,11.9,3.3,0.9,23.5,0.4,1.1,103.2,91.1,12.1,70.5,15.7,2023
Tyler Houser,VMI,.540,.517,153.2,6.9,16.8,11.6,3.6,13.1,0.8,2.3,22.4,-4.7,1.2,105.0,113.1,-8.1,197.3,15.7,2023
Deven Austin,PRIN,.609,.577,184.9,3.9,14.6,9.5,6.4,19.0,2.4,3.3,18.0,-4.4,1.4,107.4,92.6,14.8,84.9,15.7,2023
Jordan Simpson,SCSU,.522,.486,151.0,4.7,12.1,8.0,15.4,14.7,3.1,1.4,20.0,-1.0,1.2,106.1,110.5,-4.4,138.0,15.7,2023
Isaiah Rivera,COLST,.580,.547,159.5,2.1,14.4,8.6,12.3,11.2,2.1,2.3,16.4,1.2,1.3,113.3,105.6,7.8,242.9,15.7,2023
Keshawn Justice,SCU,.547,.516,159.7,1.8,11.9,6.9,12.4,7.6,1.3,1.0,18.5,1.8,1.2,118.0,104.6,13.4,299.5,15.7,2023
Kjell De Graff,NJIT,.552,.527,141.7,4.0,12.9,8.4,7.8,8.0,1.3,2.9,17.4,0.0,1.4,114.0,108.0,6.1,126.5,15.7,2023
Isaiah Kelly,YALE,.559,.560,142.6,8.4,15.1,11.9,13.3,19.1,0.5,5.0,19.1,-2.2,1.3,106.8,94.8,12.0,151.1,15.7,2023
Will Richardson,OREG,.541,.503,157.6,2.4,9.9,6.2,27.7,21.2,2.5,0.4,20.8,1.1,1.2,105.5,102.5,3.0,302.3,15.7,2023
Derrin Boyd,LIP,.581,.546,165.1,1.4,13.1,7.5,9.6,12.9,1.6,1.2,19.3,-1.2,1.3,111.2,101.5,9.7,221.0,15.7,2023
Arthur Kaluma,CREI,.530,.483,147.0,7.1,16.6,12.2,10.2,15.6,1.1,1.7,23.2,-3.2,1.3,103.2,99.1,4.1,292.3,15.7,2023
Chris Conway,OAKL,.688,.674,143.4,6.9,14.7,10.7,4.4,14.1,0.8,3.2,12.8,-2.0,1.6,127.9,110.8,17.1,120.4,15.7,2023
G.G. Jackson,SOCAR,.474,.444,138.5,5.7,17.6,11.4,6.6,14.2,1.4,2.8,30.9,-7.0,1.1,93.3,108.4,-15.1,222.5,15.7,2023
Jayden Taylor,BTLR,.527,.476,150.4,2.6,13.0,7.9,9.0,14.6,2.6,1.2,25.8,-4.3,1.2,96.6,101.4,-4.8,209.3,15.7,2023
Latrell Jossell,SFA,.600,.570,168.8,1.1,6.1,3.7,16.3,14.3,2.4,0.0,19.8,0.2,1.3,116.3,99.9,16.5,183.6,15.7,2023
Matt Schner,LIP,.589,.578,160.8,7.1,18.0,12.8,10.7,14.8,1.3,1.7,14.6,0.0,1.3,116.9,100.2,16.6,226.8,15.7,2023
Jayson Woodrich,CLEST,.519,.497,144.3,4.3,15.8,10.0,6.8,8.2,1.9,0.8,19.7,-0.7,1.1,112.4,101.5,10.9,131.4,15.7,2023
Zae Blake,UWGB,.579,.544,164.9,4.1,12.1,7.9,29.3,24.0,2.4,0.7,23.5,-2.9,1.4,99.2,115.4,-16.2,148.0,15.7,2023
Miguel Tomley,IDHST,.525,.494,158.4,1.1,17.2,9.0,16.1,15.1,1.7,0.1,26.8,-2.6,1.1,98.5,106.7,-8.2,188.1,15.7,2023
Matt Grace,RICH,.578,.543,158.2,2.1,14.8,8.7,17.7,13.7,1.1,2.8,16.9,1.6,1.3,112.8,101.3,11.5,216.0,15.6,2023
Ze'Rik Onyema,UTEP,.567,.563,136.1,8.7,19.7,14.0,5.7,18.4,1.7,3.0,19.1,-5.2,1.4,103.3,96.9,6.3,161.8,15.6,2023
R.J. Felton,ECAR,.493,.465,148.8,5.9,10.4,8.1,11.5,9.4,1.7,1.4,23.9,-1.3,1.1,105.0,104.8,0.2,247.4,15.6,2023
Otis Frazier III,UTEP,.571,.553,141.4,8.5,14.9,11.6,6.0,17.0,2.4,1.5,17.5,-4.0,1.4,108.1,98.2,9.9,162.4,15.6,2023
Dwon Odom,GAST,.489,.449,139.8,3.7,12.8,8.1,25.3,17.3,1.6,2.2,23.8,-0.5,1.1,98.6,103.6,-5.1,245.9,15.6,2023
Luke Frampton,WKU,.681,.663,171.4,0.8,9.0,5.1,10.5,9.8,1.7,0.6,13.7,1.3,1.5,131.3,104.2,27.0,145.9,15.6,2023
Frankie Collins,ASU,.480,.443,136.1,2.8,14.1,8.5,30.5,17.4,2.7,0.9,21.9,2.7,1.2,100.1,97.1,3.0,277.6,15.6,2023
"Emmitt Matthews, Jr.",WVU,.564,.528,158.5,4.8,12.2,8.5,7.4,10.0,1.1,1.9,16.9,-0.8,1.3,118.1,104.8,13.3,230.3,15.6,2023
Jordan Pope,ORST,.548,.514,163.6,1.6,8.2,5.0,17.3,11.1,1.7,0.2,21.2,0.3,1.2,108.7,106.7,2.0,225.4,15.6,2023
Tyree Boykin,APPST,.524,.488,147.2,0.4,11.7,6.2,10.1,9.2,2.0,0.2,23.4,-0.7,1.2,104.8,98.1,6.7,126.0,15.6,2023
"Jemarl Baker, Jr.",FRSNO,.508,.479,147.7,1.6,10.8,6.1,20.4,11.1,1.9,0.1,24.1,1.3,1.1,103.5,105.4,-1.9,197.3,15.6,2023
Bruce Thornton,OSU,.548,.525,155.9,1.2,9.7,5.6,15.8,12.0,1.6,0.5,18.9,1.5,1.2,113.2,106.1,7.1,241.5,15.6,2023
JaVonte Perkins,STLOU,.546,.513,159.7,1.3,8.3,5.0,4.0,6.8,1.2,1.0,23.8,-1.8,1.2,110.1,105.7,4.4,151.1,15.6,2023
Shakeel Moore,MISST,.496,.471,144.0,2.5,11.3,6.8,19.0,16.7,3.9,1.4,23.1,-1.8,1.1,97.8,92.4,5.3,197.4,15.6,2023
Deandre Gholston,MZZOU,.533,.482,152.8,1.7,11.1,6.4,14.1,13.9,1.7,0.5,26.2,-2.0,1.3,103.2,109.8,-6.6,173.5,15.6,2023
Bobby Planutis,IPFW,.636,.600,180.4,1.6,15.3,8.3,6.2,11.6,1.5,0.6,16.4,-1.6,1.4,120.0,101.1,18.9,246.8,15.6,2023
Hunter Cattoor,VT,.610,.591,161.8,1.0,12.4,6.9,11.8,9.5,1.8,0.4,15.5,2.0,1.3,122.2,105.7,16.4,259.4,15.6,2023
Mike Jones,STAN,.584,.541,153.5,2.5,10.6,6.5,12.3,11.8,1.4,0.6,18.7,0.1,1.4,118.0,106.7,11.3,193.1,15.5,2023
Brandon Suggs,UCF,.582,.518,164.5,6.1,14.8,10.4,9.7,19.2,2.4,0.8,19.0,-3.9,1.5,109.2,96.8,12.4,144.1,15.5,2023
Sam Peek,STET,.542,.520,144.5,6.6,21.1,13.8,7.4,15.7,1.9,1.8,18.5,-2.9,1.2,106.4,106.7,-0.2,147.5,15.5,2023
Ryan Nembhard,CREI,.543,.503,165.8,1.3,11.9,7.0,25.4,15.7,1.2,0.2,20.2,3.2,1.2,109.9,101.6,8.3,344.9,15.5,2023
Jordan Davis,JAC,.549,.523,150.7,2.6,16.4,10.0,12.6,15.0,2.6,1.7,17.5,-0.5,1.2,105.1,98.8,6.3,241.9,15.5,2023
Deon Perry,L-MD,.535,.491,170.5,1.4,8.6,4.9,14.5,12.7,3.3,0.3,23.1,-0.8,1.2,105.2,105.5,-0.3,194.9,15.5,2023
Shawndarius Cowart,GRAMB,.526,.482,151.9,3.1,10.9,7.2,21.1,19.6,3.2,0.3,21.2,-1.3,1.2,101.4,91.7,9.7,257.3,15.5,2023
"Andre Jackson, Jr.",UConn,.509,.491,135.9,7.9,17.4,12.8,26.7,23.1,2.2,1.8,14.5,4.0,1.1,113.0,93.9,19.1,350.8,15.5,2023
