Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year
Bryce Cotton,PROV,32,38.6,14.3,4.5,11,0.413,2.4,6.3,0.379,2.8,3.2,0.891,0.4,2.1,2.5,2.3,1,0.2,1.6,1.6,2012
Sean Kilpatrick,UC,37,34.5,14.3,5,11.7,0.428,2.5,6.6,0.376,1.8,2.4,0.75,1.4,3.2,4.6,2.1,1.3,0.3,1.5,1.3,2012
Angelo Caloiaro,USF,34,30.8,14.2,4.3,8.8,0.49,1.6,4.2,0.392,3.9,5,0.793,1.5,4.5,6,2.4,1.6,0.2,1.7,1.9,2012
C.J. Wilcox,UW,32,28.5,14.2,4.8,10.9,0.437,2.3,5.7,0.403,2.4,2.9,0.839,0.8,2.6,3.4,1.2,0.9,0.6,1.3,2,2012
Gerald Robinson,UGA,32,30.6,14.2,5,11.5,0.433,0.8,2.2,0.366,3.4,4.3,0.797,0.7,3.2,3.8,3.6,1.3,0.1,2.5,1.9,2012
Anthony Davis,UK,40,32,14.2,5.3,8.4,0.623,0.1,0.5,0.15,3.6,5.1,0.709,3,7.4,10.4,1.3,1.4,4.7,1,2,2012
Malik Story,UNR,35,31,14.1,4.7,11,0.432,2.7,6.5,0.416,2,2.7,0.726,0.3,2.5,2.8,2.3,0.7,0.3,2,1.8,2012
Ramon Galloway,LU,31,33.3,14.1,5,10.9,0.457,2.2,5,0.442,2,2.5,0.785,0.5,4.1,4.6,3.5,1.5,0.3,3,2.4,2012
Jackson Stevenett,SUU,31,32.5,14.1,5.4,10.5,0.512,0.3,0.9,0.333,3.1,4.1,0.758,1.9,3.7,5.7,1.5,0.7,0.7,2.1,2.8,2012
Julius Mays,WRST,30,33.4,14.1,4.2,9.9,0.428,1.7,3.9,0.424,4,4.8,0.832,0.4,2.4,2.8,2.5,1.4,0.1,2.1,2.3,2012
Kevin Van Wijk,VAL,31,23.7,14.1,4.9,8,0.617,0,0,0,4.2,6.5,0.652,1.7,3.5,5.2,0.6,0.6,0.7,2.4,3.1,2012
Chehales Tapscott,PSU,32,31.8,14.1,4.8,9.2,0.526,0.4,1.4,0.311,4,5.5,0.737,3,6.3,9.3,1.8,1.8,1.3,2.4,2.8,2012
Greg Gantt,FAU,27,26.9,14,5.2,12,0.433,2.2,5.8,0.382,1.4,1.9,0.78,1.2,2,3.3,0.8,0.8,0.1,1.1,1.4,2012
Scott Eatherton,SFU,29,28.7,14,5.6,9.1,0.614,0.2,0.7,0.316,2.7,3.6,0.733,2,5,7,1,0.9,1.2,2.4,3.3,2012
Mike Moser,UNLV,35,31.4,14,5.3,11.7,0.45,1.3,3.8,0.331,2.2,2.9,0.78,2.6,7.9,10.5,2.3,1.9,1,2.9,2.7,2012
Justin Greene,KSU,32,30.5,14,5.1,10.3,0.494,0,0,0,3.9,5.3,0.725,2.1,4.7,6.8,1.5,1.2,0.8,3.2,2.7,2012
Jason Clark,GU,33,32.6,14,4.8,10.1,0.476,1.5,4.5,0.322,2.9,3.9,0.75,0.9,3.2,4.1,1.8,1.6,0.3,2.3,2,2012
Zane Johnson,UH,29,34.3,14,4.3,11.6,0.371,2.8,7.8,0.361,2.6,3,0.841,0.4,2.8,3.2,1.8,0.8,0.1,2.2,2.3,2012
Robert Mansell,BU,28,32.6,14,4.5,11.4,0.396,0.9,2.9,0.305,4.1,5.3,0.777,0.7,2.6,3.3,1.5,0.9,0.2,2.7,1.7,2012
Michael Snaer,FSU,35,30.4,14,4.8,10.9,0.436,1.9,4.7,0.404,2.5,3,0.846,0.9,2.8,3.8,1.9,1.1,0.4,2.1,2,2012
Donte Poole,MSU,33,31,14,4.2,9.5,0.441,2.1,5.5,0.376,3.5,4.1,0.858,0.6,3,3.6,1.5,1.9,0.2,1.8,2.2,2012
JaMychal Green,UA,26,29.2,14,5.2,9.6,0.546,0.1,0.4,0.2,3.4,5,0.69,2.4,5,7.4,1.8,0.7,1.5,2.7,3.2,2012
Jackie Carmichael,ISU,35,29.1,13.9,4.8,9,0.533,0.1,0.1,0.5,4.3,6,0.714,2.3,7.4,9.7,1,0.6,1.4,2.2,2.7,2012
Raheem Appleby,LTU,32,27.8,13.9,5.4,11.5,0.47,1.3,3.1,0.4,1.9,2.6,0.714,1,1.5,2.4,1.2,1.1,0.1,1.4,1.4,2012
Collin Chiverton,EWU,32,22.1,13.9,4.6,12.5,0.367,2.8,6.8,0.406,2,2.5,0.79,0.5,1.6,2.1,0.5,0.8,0.4,1,2.3,2012
Trey Freeman,CAM,29,32.1,13.9,4.9,11.3,0.437,0.6,1.7,0.354,3.5,4,0.871,0.5,2.6,3.1,3.8,1.1,0.1,2.4,2.3,2012
Jeremy Allen,FIU,29,32.5,13.9,4.5,11.3,0.398,1.8,4.8,0.374,3.1,3.7,0.841,1.1,2.3,3.4,1.2,2.7,0.1,1.8,2.3,2012
Guna Ra,MU,35,26.2,13.9,6,8.7,0.693,0,0,0,1.9,2.8,0.691,3.1,4.3,7.5,0.6,0.6,1,1.6,2.6,2012
Harouna Mutombo,WCU,35,29.9,13.9,4.9,11.6,0.426,0.7,2.4,0.282,3.3,5.5,0.613,1.8,4.1,5.9,1.9,1.4,0.3,2.2,2.4,2012
Brian Conklin,SLU,34,29.4,13.9,4.6,8.9,0.521,0,0.1,0.5,4.6,5.7,0.8,2,2.6,4.6,1.2,0.7,0.3,2.1,2.6,2012
Justin Edwards,UM,29,31.2,13.9,5.1,12.1,0.425,0.6,2.2,0.262,3,4,0.757,2,3.6,5.6,3.3,1.4,0.6,3,2.7,2012
Chasson Randle,SU,37,30.5,13.8,4.6,10.4,0.439,2.3,5.2,0.438,2.4,3.2,0.761,0.6,2.6,3.2,2.1,1.1,0.1,2.2,3,2012
Evan Roquemore,SCU,30,33.6,13.8,4,11.5,0.344,1.9,5.5,0.343,4,5,0.795,0.5,2.6,3.1,5.3,0.9,0.3,2.8,2.1,2012
Olek Czyz,UNR,35,28.3,13.8,5.1,9.5,0.541,0.5,1.5,0.296,3.1,4.9,0.628,2.2,4.3,6.5,0.9,0.7,0.3,2.4,2.2,2012
