Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Year
Michael Craion,ORU,0.605,0.583,124.4,12.2,17.2,14.7,11.7,20.2,3.6,3.3,21,-4.5,1.5,112.9,96.9,16,339.9,22.1,2012
Mike Moser,UNLV,0.537,0.504,156.1,9.6,28,18.9,14.8,18.3,3.6,3.4,25.2,-4.4,1.2,103.1,84.6,18.6,479,22.1,2012
John Bohannon,UTEP,0.618,0.585,131.6,8.8,25.2,17.6,16.5,21.6,1.5,4.2,25.3,-5.9,1.5,106.2,92.4,13.8,292,22,2012
Royce White,ISU,0.536,0.54,136.4,9.5,24.4,17.1,34.5,23.4,2.2,3,26.5,-1.6,1.4,103.3,94.2,9.1,458.9,22,2012
Hamidu Rahman,NMSU,0.581,0.6,111.2,15.5,16.7,16.1,4.6,16.3,0.9,5.4,23.5,-6.4,1.7,111.9,95.7,16.2,267.1,21.9,2012
Patrick Richard,MSU,0.516,0.455,145,5.7,14.4,9.9,20.2,12.3,2.1,2,27.5,-0.6,1.2,110.2,98.8,11.4,385.5,21.9,2012
Ross Rivera,PAC,0.625,0.533,178.2,5.4,14.7,9.9,4.7,10.5,1.4,0.8,24.1,-3.7,1.7,123.8,105.4,18.5,180.5,21.9,2012
Anthony Miles,LU,0.568,0.478,161.8,3.3,12.4,7.8,25,15.3,3,0.1,22.8,1.2,1.5,117.5,95.6,21.9,381.3,21.8,2012
Robert Sacre,GU,0.595,0.511,127.2,9.9,18,14.2,5.7,15.7,0.8,5.8,22.8,-5.2,1.7,116.7,93.4,23.3,298.1,21.8,2012
Mark Cisco,COM,0.607,0.59,125.7,12.6,22.1,17.5,10.6,16.6,0.8,3.3,21.6,-3.9,1.4,114.6,95.3,19.3,270.3,21.8,2012
Ceola Clark,WIU,0.613,0.59,164.5,2.7,10.6,6.6,28.6,13.7,2.8,0.4,20.1,4.4,1.4,121.8,98.3,23.5,381,21.8,2012
Zach Rosen,PENN,0.576,0.533,173.4,0.9,9.8,5.4,33.8,14.7,2.3,0.2,27.2,2.2,1.3,113.7,102.4,11.3,382.6,21.8,2012
Jonathon Williams,WC,0.608,0.574,159.4,7.9,16,11.9,8.8,15.1,1.5,1.2,26.3,-5.4,1.5,115.2,95.3,20,223,21.8,2012
Terrence Ross,UW,0.558,0.534,159.5,4.7,17.5,11.1,9.2,12,2.3,3,25.3,-3.3,1.2,113.4,95.3,18,373.5,21.7,2012
Justin Hamilton,LSU,0.553,0.498,152.5,11.8,15.3,13.5,7,12.9,1.5,4.7,22.6,-3.8,1.3,113,94.8,18.2,339.9,21.7,2012
David Pellom,GW,0.669,0.688,141.6,9.5,18.1,13.7,10.2,16,1.2,2.7,18.1,-2.8,1.6,121.4,102.8,18.6,249.5,21.7,2012
Javonte Green,RU,0.506,0.478,127.8,13.4,21.9,17.4,6.9,14.4,3.7,2.5,26.9,-6,1.2,100.4,94.8,5.6,244.8,21.7,2012
Chris Gaston,FORD,0.48,0.445,146.8,11.6,19.3,15.3,8.4,13.1,2.2,5.3,29.4,-5.8,1.1,98.9,99.8,-0.9,338.3,21.7,2012
Mamadou Seck,SIU,0.536,0.482,128.3,9.7,22,15.3,20.3,13.7,2,1.9,23.6,-0.8,1.3,111,101.7,9.3,344.1,21.7,2012
O.D. Anosike,SC,0.537,0.524,108.8,13.8,24.5,19.3,6.9,14.8,1.8,2.9,23,-4.8,1.3,106.5,94.5,12,446.5,21.7,2012
Kyisean Reed,USU,0.636,0.614,129.3,9.5,14.3,12.1,5.2,14.2,1.4,4.9,20.2,-3.9,1.6,120.6,99.5,21.2,279,21.6,2012
Dennis Tinnon,MU,0.588,0.558,227.8,14.9,23.6,19.1,6.4,13.4,1.4,1,16.9,-2.6,1.4,123.7,99.4,24.2,394.3,21.6,2012
Darren White,CAM,0.597,0.579,155.8,6.9,12.5,9.9,14,15.8,1.6,3.6,26.1,-3.8,1.4,111.7,106.5,5.2,348.1,21.6,2012
Josh Owens,SU,0.584,0.571,119.2,9.6,15.7,12.6,7.2,13.8,2.7,2.9,21.5,-3.8,1.4,114.2,89.4,24.8,335,21.6,2012
Sherwood Brown,FGC,0.579,0.558,157.3,8.5,15.9,12.3,6.4,9.7,2.6,1.5,22.5,-2.3,1.3,119.7,102.4,17.3,258.8,21.6,2012
Will Cherry,UM,0.571,0.515,159.8,2.3,11.2,6.9,21.1,16.9,4.6,1.1,26.2,-1.9,1.4,108.3,89.8,18.5,337.1,21.6,2012
Bradley Beal,UF,0.575,0.525,155.3,4.7,18.3,11.6,12.7,14.3,2.5,2.6,22.9,-2,1.4,115.4,95.5,19.9,433.6,21.6,2012
Robert Nwankwo,TU,0.464,0.436,95.8,15.4,19.9,17.6,5.1,13.6,2.2,8.5,24.5,-5.8,1.2,97.5,103.5,-6,377.3,21.5,2012
Royce O'Neale,UD,0.648,0.586,176.2,6.3,24.1,15.4,17.1,21.7,3.3,1.8,21.5,-2.9,1.6,114.4,91.8,22.6,288.8,21.5,2012
Khyle Marshall,BU,0.56,0.555,127.3,9.7,15.1,12.3,5.2,8.9,0.8,3.8,23.7,-3,1.4,114.3,95,19.3,223,21.5,2012
Drew Crawford,NU,0.581,0.56,160,4.4,12.5,8.4,14.1,10.6,2.2,1.9,25.2,-0.8,1.3,113.7,107.4,6.3,352.4,21.4,2012
Maurice Kemp,ECU,0.539,0.488,148.5,12.2,18.9,15.6,11.2,17.6,2.8,4.1,25.9,-5.7,1.3,104,91.3,12.7,253.4,21.4,2012
Jeremy Lamb,UConn,0.589,0.556,162.4,3,11.2,7.3,10.1,11.7,2.1,1.7,23.9,-2.5,1.3,118.2,101.8,16.5,374.1,21.4,2012
Donald Johnson,CSUB,0.64,0.606,185.7,11.6,18.7,15,7,14.1,1,5.8,19.3,-3.2,1.5,123.9,105.1,18.8,240.8,21.4,2012
Brooks Ybarra,TSU,0.645,0.616,174.4,4.3,10.2,7.2,10.6,12.6,2.7,1.8,20.3,-1.8,1.5,123.8,99.9,23.9,260.4,21.4,2012
Tarik Black,UM,0.673,0.689,128.3,10.6,12.2,11.4,1.3,14,1.5,6.2,18.7,-4.6,1.8,124.5,94,30.5,287.1,21.4,2012
Akeem Johnson,SFC,0.608,0.574,127.1,9.3,15.3,12.2,9.1,18.2,1.7,4.4,23.3,-5.9,1.6,111,97.3,13.7,231.9,21.4,2012
Ray McCallum,UDM,0.548,0.494,146.5,3.7,12.6,8.1,25.2,13.6,2.8,0.7,24.4,1.3,1.3,114.6,100.7,13.8,393.3,21.4,2012
Trey Finn,ASU,0.607,0.578,162.1,5.6,14.7,10.1,12.9,8,2.9,0.5,17.3,1.2,1.5,131.7,99.7,32,308.1,21.4,2012
Chase Tapley,SDSU,0.56,0.542,161,2.3,12.2,7.4,14.7,10.3,3.1,1.5,23.9,-0.3,1.2,113.8,92.5,21.3,358.9,21.4,2012
Tu Holloway,XAV,0.587,0.487,163.7,1.3,9.9,5.8,27.4,16.7,2.5,0.3,25.2,0.7,1.5,116.1,100.6,15.5,388.9,21.4,2012
Mike Moore,HOF,0.561,0.504,162.7,2.3,14.2,7.9,16.3,14.2,3,0.2,30.3,-4.6,1.3,107.9,99.5,8.5,316.4,21.4,2012
Darrin Williams,UIC,0.56,0.542,115.3,11.6,20.1,15.6,10.3,16.2,1.1,6.8,23.1,-4.9,1.4,106.8,100.3,6.6,241.4,21.4,2012
Drew Windler,SU,0.631,0.597,167.3,5.5,11.6,8.6,12.2,17.6,1.1,2,29,-6.4,1.5,111.4,109.6,1.8,215.1,21.3,2012
Ella Ellis,USMA,0.557,0.492,159.8,5.6,13.6,9.6,17.9,13.1,1.6,1.6,30.6,-3.1,1.3,108.1,99.8,8.3,289.4,21.3,2012
Jereal Scott,SFA,0.528,0.48,117.1,10,18.9,14.5,8.9,14.7,1.5,4.3,31.4,-7,1.3,103,86.8,16.1,215.1,21.3,2012
Luke Apfeld,UVM,0.62,0.555,178,9.5,13.2,11.4,5,14.4,1.6,2.3,23.5,-5.2,1.6,119.6,95.5,24.1,206.8,21.2,2012
Jared Cunningham,OSU,0.568,0.507,152.5,3.4,9.6,6.5,15.7,15.2,4.1,1.2,26.1,-2.7,1.5,111.2,99,12.2,388.3,21.2,2012
Tony Wroblicky,AU,0.523,0.511,110.2,15.3,23.7,19.6,2.5,11.6,1.1,9.9,21.2,-4,1.2,107.4,90.6,16.8,214,21.2,2012
D.J. Cooper,OU,0.488,0.429,140.1,2.7,10.8,6.7,37.5,16,4.3,0.3,28,3,1.2,106.2,92,14.2,400,21.2,2012
Pierre Jackson,BU,0.595,0.552,169,3.5,7.4,5.6,37.3,23.4,3.5,0.3,24.6,1.3,1.4,113.5,98.4,15.1,397.9,21.2,2012
Patric Young,UF,0.619,0.618,121.2,12.2,16.5,14.3,8.6,15.7,1.1,3.3,19.4,-3.2,1.4,120,98.6,21.4,333.4,21.2,2012
Derrick Williams,RICH,0.626,0.567,164.6,11.2,15.2,13.2,7.1,16.1,1.5,1.8,22.3,-4.9,1.7,119.2,103.7,15.5,260.1,21.2,2012
Julian Mavunga,MU,0.549,0.478,148,8,23.8,16,23.2,21.1,1.6,1.7,29.6,-5.3,1.5,102.8,100.9,1.9,359.6,21.2,2012
Devoe Joseph,UO,0.596,0.567,168.6,2.3,10.4,6.5,18.6,11.7,2.3,0.4,22.9,0.9,1.3,121.7,103.4,18.3,314.5,21.2,2012
Melvin Johnson III,UTSA,0.603,0.577,173.5,3.4,13.2,8.5,11.8,15.9,2.5,0.7,27.9,-5.3,1.3,107.9,96.7,11.2,213.3,21.1,2012
Zeke Marshall,AKR,0.591,0.542,124.8,9.2,14.7,12,6.4,15.6,1,10.9,20.1,-4.1,1.6,115.1,94.5,20.6,314.9,21.1,2012
Rayvonte Rice,DU,0.518,0.467,138.5,4.6,16.3,10.5,12,13.4,3.4,2.5,30.1,-4.5,1.3,101,95.1,5.9,308.1,21.1,2012
Chris Eversley,POLY,0.537,0.498,144.5,12.3,19.5,15.8,9.3,11.3,1.6,0.4,24.5,-2.6,1.3,115,99.5,15.5,194.4,21.1,2012
Mike James,LU,0.53,0.495,158.3,3.2,7.9,5.5,14.8,11.3,3,0.4,28.2,-2.4,1.2,109.5,98.1,11.4,259.5,21.1,2012
Jordan Taylor,UW,0.538,0.481,155.6,3,10.1,6.6,26.9,10.2,1.9,0.1,25.1,3.8,1.3,118.3,93,25.3,360.8,21.1,2012
Andre Drummond,UConn,0.509,0.538,83.3,13.9,15.6,14.8,3.4,13.5,1.8,9.9,20.8,-4.6,1.2,103.4,95.8,7.6,354.8,21.1,2012
Earl Pettis,LU,0.558,0.531,162,1.6,12.6,7.3,15,10.2,3.5,1.1,25.3,-0.3,1.2,111.9,94,17.9,331.8,21.1,2012
Perris Blackwell,USF,0.579,0.575,113.9,13.4,16,14.7,7.5,15,1,1.5,25.3,-5.2,1.4,111.5,104.3,7.2,269.8,21.1,2012
Mike Morrison,GMU,0.589,0.592,114.1,10.3,17.8,14.3,11.2,14.3,1.1,7.7,18.5,-1.7,1.5,116.6,91.6,25,330.9,21.1,2012
Samme Givens,DREX,0.569,0.528,124,12,19.8,16,14.3,17.3,1.1,3.9,22.8,-3.5,1.4,111.8,89.8,22,362.8,21.1,2012
Rodney Williams,U of M,0.595,0.59,146.4,6.7,14.5,10.8,12.4,13.1,2.6,5.2,19.8,-1.3,1.4,116.6,97.5,19.1,403.5,21.1,2012
Keith Wright,HAR,0.601,0.586,124.5,11,26.3,19.2,5.5,18.7,1.1,5.4,22.4,-6.5,1.4,107.3,86.3,21,305.4,21,2012
Rodney McGruder,KSU,0.564,0.525,164.9,7.9,10.6,9.3,9.7,9.7,2.1,0.9,23.4,-1.8,1.3,120.8,95.8,25,333.1,21,2012
Chris Johnson,DAY,0.623,0.587,170.9,10.1,15.5,12.9,9.5,13.8,1.5,2.2,20.2,-2.5,1.4,124.3,100.8,23.6,326.4,21,2012
Lucas Troutman,ELON,0.542,0.523,112.8,8.5,13.2,10.9,7.7,12.9,1.7,5.2,25,-4.2,1.3,105.7,98.7,7,269.9,21,2012
Trey Zeigler,CMU,0.483,0.474,124.6,7.9,17,12.2,22.4,13.6,2.2,2.7,31.3,-3.1,1.2,98.8,100.3,-1.6,303.3,21,2012
LaMarcus Reed III,UTA,0.604,0.544,164.6,2.4,10.7,6.7,11.9,15.1,1.8,1.4,26.6,-4.7,1.5,116.2,95.8,20.3,298.9,21,2012
Curtis Dennis,U of T,0.578,0.542,160.6,4.3,10.9,7.7,12.4,11.7,3,0.6,24.1,-1.8,1.3,115.5,100.2,15.3,212.9,21,2012
Miles Plumlee,DUKE,0.621,0.61,124.1,16.7,22.8,19.8,5.1,18.7,1.5,4.2,16.1,-4.3,1.5,121.2,95.1,26.1,281.3,21,2012
Gerald Robinson,UGA,0.525,0.469,159.7,2.4,13,7.5,31.3,15.4,2.7,0.3,29,-0.3,1.2,104.6,101.3,3.3,272.5,21,2012
Steven Werner,SHSU,0.623,0.63,119.1,10.4,22.4,16.5,6.7,20.3,1.6,2.4,26.5,-9.1,1.5,101,88.2,12.8,193.1,20.9,2012
Adreian Payne,MSU,0.602,0.569,176.3,10.8,16.8,14,3.6,15.3,2.3,6.9,19.9,-4.9,1.5,115.4,87.6,27.8,222.9,20.9,2012
Jamal Geli,MSU,0.556,0.533,153.2,9.1,18.4,13.9,11.6,12.1,2.7,0.6,23.5,-1.9,1.3,111.1,93.5,17.6,246.6,20.9,2012
J.P. Primm,UNCA,0.593,0.533,163.8,2.1,9.8,6.1,24.7,15.5,3.4,0.2,23.6,1.2,1.4,119,100.8,18.2,363,20.9,2012
Brian Conklin,SLU,0.598,0.523,182.1,8.3,11.4,9.8,9.6,15.2,1.5,1.2,25.4,-4.6,1.6,115.6,93.6,22,267.4,20.9,2012
D.J. Seeley,CSUF,0.57,0.525,160.4,7.5,12.5,10.1,11.9,15.9,2.7,0.6,28,-5.1,1.4,112.4,100.2,12.2,295.8,20.9,2012
