Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Year
Morris Udeze,UNM,0.622,0.61,123.8,9.9,25.3,18,8.4,13.8,1.1,2.8,23.7,-3.6,1.6,119.4,99.8,19.6,462.3,24.9,2023
Jakobe Coles,TCU,0.565,0.524,159.4,10.1,18.6,14.3,14.8,8.3,2,3.8,24.3,0.8,1.3,121,94.5,26.5,245.4,24.8,2023
Brice Williams,CHAR,0.604,0.561,172,4.3,22.7,13.9,10.3,10.1,1.3,1.6,27.8,-2,1.4,116.4,99.3,17.1,341.1,24.8,2023
Kendric Davis,MEMP,0.551,0.473,161.4,1.9,10.2,6.3,29.9,13.5,3.1,0.6,31.9,1.5,1.4,113.9,99.1,14.8,452.4,24.8,2023
Josh Smith,STET,0.63,0.604,162,11.4,24.5,17.9,6.5,13.6,1.3,4.6,21.9,-3.6,1.4,122.4,105.2,17.2,263.1,24.8,2023
Tommie Lewis,TAMUC,0.729,0.706,190.3,5,23.5,14.1,12.4,13.2,2.7,1.8,17.6,-0.5,1.7,135.9,100.9,35,143.1,24.8,2023
Jubrile Belo,MTSTU,0.632,0.582,130.9,11.3,21.1,16.2,9.1,18.5,1.6,4.4,26.7,-6.7,1.7,115.3,95.3,20,317.4,24.8,2023
Elijah Pepper,UCD,0.571,0.516,158.8,4,16.6,10.3,23.4,14.9,2.6,0.6,31.9,-3.2,1.4,112.3,97.7,14.6,406.6,24.7,2023
Johnell Davis,FAU,0.6,0.548,169.8,5.5,18.6,12.3,12.6,13.8,3.4,0.6,25.9,-2.8,1.4,117.4,91.3,26.1,370.9,24.7,2023
Karim Coulibaly,UML,0.592,0.576,123.5,15.8,22,19,5.8,15.6,2.1,3.9,23.1,-5.3,1.4,115.9,92.3,23.6,329.1,24.7,2023
Charles Thompson,TOWS,0.583,0.565,119.6,13.5,19.6,16.6,11.6,13.3,1.8,6.8,20.9,-1.7,1.4,120.1,96.4,23.7,407,24.7,2023
Joe Reece,DUQ,0.56,0.52,144.7,9.7,20.2,14.8,15,13.5,3.1,3.4,26.3,-2.4,1.4,113.4,96.8,16.6,215.9,24.7,2023
Great Osobor,MTSTU,0.646,0.626,178.8,10,22.1,16.1,12.1,21.4,2,5.3,27.9,-7.9,1.8,110.8,94,16.8,233.4,24.7,2023
Matt Knowling,YALE,0.631,0.631,155.8,3.8,16.3,10.3,18.3,11.6,1.7,1.1,23.1,0.7,1.4,121.7,93.8,27.9,251.4,24.6,2023
Ryan Young,DUKE,0.717,0.685,149.7,16,20.9,18.6,14.9,20.4,1,2.9,16.4,-1.5,1.8,133.1,96,37.1,274,24.6,2023
Daniel Deaver,USNA,0.563,0.549,157.8,11.6,20.1,15.9,23.6,15.9,2,2.3,27.9,-1.4,1.3,111,97,14,342.9,24.6,2023
Jack Nunge,XAV,0.586,0.567,158.5,12.2,19.7,16.1,12.6,9.7,1.7,3.9,22.3,0.3,1.4,122.8,99.9,22.9,497.5,24.6,2023
Tristan Enaruna,CLEST,0.558,0.528,139.4,8.9,15.9,12.4,8.9,10.5,2,4.2,24.9,-2.3,1.3,115.9,99.9,16,410.8,24.5,2023
Zed Key,OSU,0.591,0.569,150.1,14.9,21,18,6.2,12.9,1.3,4.2,21.6,-3.4,1.4,121.2,97.3,23.9,250.9,24.5,2023
Jeremiah Kendall,ALCST,0.524,0.49,115.4,18.3,19.4,18.8,5.9,12,2,2.2,27.7,-5.1,1.2,110.5,100,10.6,227,24.5,2023
Aziz Bandaogo,UVU,0.622,0.609,157,11.4,25.5,19.1,7.6,14.7,1,9,18,-2.6,1.6,120.4,87,33.4,550.3,24.5,2023
Sadaidriene Hall,SFA,0.616,0.601,164,10.7,20.2,15.5,14.1,13.8,2.5,3.1,22.3,-1.7,1.4,120.4,92.9,27.5,337.6,24.4,2023
Terrence Edwards,JMU,0.612,0.585,170.7,6.9,18.1,12.5,16.6,18.2,2.8,0.7,26.7,-4.5,1.5,113.4,91.9,21.5,298.3,24.4,2023
Anderson Mirambeaux,MIAMI,0.59,0.548,155.4,10.2,18.4,14.4,23.3,18.2,1.1,4.1,29.7,-3.8,1.4,111,105.8,5.2,313.4,24.4,2023
Eric Dixon,VILL,0.586,0.547,166.3,9.8,17.4,13.6,10.6,10,1,2.4,25.9,-1.8,1.4,118.7,104.3,14.5,381.8,24.3,2023
Andrei Savrasov,GASO,0.571,0.55,155,9.9,19.1,14.5,9.2,11.5,2.5,1.3,24.2,-2.7,1.3,114.7,95.2,19.5,331.5,24.3,2023
Trenton Massner,WIU,0.566,0.535,162.6,2,16.1,9,31.6,13.8,2.5,0.9,28.3,2.6,1.2,112.8,103.4,9.4,416,24.2,2023
Tucker DeVries,DRAKE,0.582,0.539,165.7,3.3,17.4,10.6,11.3,8.7,1.9,0.8,28.4,-1.1,1.3,116.1,92.9,23.3,393,24.2,2023
Dylan Disu,TEXAS,0.655,0.636,170.3,8,20,14.1,10.7,14.5,1.9,7.4,20.9,-2.3,1.5,121.3,90.8,30.5,278,24.2,2023
Kahliel Spear,RMU,0.552,0.527,144.1,8.5,22.3,15.3,12.5,10.8,2,4.5,24.6,-1.4,1.3,113.4,95.2,18.2,444.1,24.2,2023
Eduardo Andre,FRSNO,0.618,0.582,136,10.9,26.9,18.7,8.8,19.4,2.9,9,22.2,-5.6,1.5,110.2,93.5,16.7,241.6,24.2,2023
Jaylen Clark,UCLA,0.55,0.523,150.8,7.5,17.1,12.1,11.3,9.5,5.1,1.1,21.6,0,1.3,118.4,84.1,34.3,345.3,24.1,2023
Isaiah Wilkins,LONG,0.596,0.551,169.3,6.7,20.3,13.3,11.4,12.4,2.5,2.1,24.3,-2.2,1.4,119.9,95.7,24.2,314,24.1,2023
